"","District Name","County","Region","mean_enrollment","mean_attendence","mean_chronic_absenteesim","mean_expulsions","mean_out_of_school_suspensions","mean_in_school_suspensions","mean_total_students_discipline"
"1","A+ Arts Academy","Franklin","Region 11",686,91.2,33,0,0,0,0
"2","A+ Children's Academy","Franklin","Region 11",128,92.6,24.7,0,0,0,0
"3","Academy for Urban Scholars Youngstown","Mahoning","Region 5",196,47.7,94.9,0,0,0,0
"4","Academy of Educational Excellence","Lucas","Region 1",137,90.6,36.9,0,12,0,12
"5","Academy of Junior Scholars","Hamilton","Region 13",30,93.1,22.4,0,0,0,0
"6","Achieve Career Preparatory Academy","Lucas","Region 1",145,60,91.5,0,176,0,176
"7","AchievePoint Career Academy - Cincinnati","Hamilton","Region 13",60,100,0,0,0,0,0
"8","AchievePoint Career Academy - Columbus","Franklin","Region 11",36,100,0,0,0,0,0
"9","Ada Exempted Village","Hardin","Region 6",419,95,8.85,0,19.5,17,36.5
"10","Adams County Ohio Valley Local","Adams","Region 14",578.333333333333,93.5333333333333,16.1166666666667,0,32.75,88.1666666666667,120.916666666667
"11","Adena Local","Ross","Region 15",397,94.6,10.6666666666667,0,17.3333333333333,109,126.333333333333
"12","Akron City","Summit","Region 8",478.627906976744,92.146511627907,21.6813953488372,0,127.720930232558,179.918604651163,307.639534883721
"13","Akron Preparatory School","Summit","Region 8",218,87.8,47,0,140,0,140
"14","Akros Middle School","Summit","Region 8",122,90.4,32.6,0,66,0,66
"15","Albert Einstein Academy for Letters, Arts and Sciences-Ohio","Cuyahoga","Region 3",330,90.1,36.6,0,0,11,11
"16","Alexander Local","Athens","Region 16",740,94.2,12.25,0,11.5,0,11.5
"17","Allen East Local","Allen","Region 6",375.333333333333,94.6333333333333,13.0333333333333,0,0,0,0
"18","Alliance Academy of Cincinnati","Hamilton","Region 13",583,90.6,34.4,0,93,0,93
"19","Alliance City","Stark","Region 9",499.166666666667,92.2,23.5,0,77.2166666666667,4,81.2166666666667
"20","Alternative Education Academy","Summit","Region 1",1940,89,36,120,0,0,120
"21","Amanda-Clearcreek Local","Fairfield","Region 11",361.25,93.775,14.175,0,16.925,49.625,66.55
"22","Amherst Exempted Village","Lorain","Region 2",887.5,94.65,10.15,0,15.875,0,15.875
"23","Anna Local","Shelby","Region 6",382.333333333333,96.8,3.5,0,0,0,0
"24","Ansonia Local","Darke","Region 10",260.666666666667,95.7666666666667,6.5,0,5,0,5
"25","Anthony Wayne Local","Lucas","Region 1",668.333333333333,95.8833333333333,5.85,0,1.83333333333333,0,1.83333333333333
"26","Antwerp Local","Paulding","Region 1",238.666666666667,95.5666666666667,7.4,0,0,0,0
"27","Apex Academy","Cuyahoga","Region 3",496,94.3,14.3,0,47.8,0,47.8
"28","Arcadia Local","Hancock","Region 1",186.666666666667,95.8666666666667,3.93333333333333,0,0,0,0
"29","Arcanum-Butler Local","Darke","Region 10",371.666666666667,96.3,5.6,0,0,0,0
"30","Archbold-Area Local","Fulton","Region 1",403,96,4.16666666666667,0,0,0,0
"31","Arlington Local","Hancock","Region 1",276,96.1,5.8,0,0,0,0
"32","Arts & College Preparatory Academy","Franklin","Region 11",393,89.5,38.8,0,25.5,0,25.5
"33","Ashland City","Ashland","Region 7",635.2,94.62,11.92,0,3.2,5.7,8.9
"34","Ashland County Community Academy","Ashland","Region 7",84,74.9,77.1,0,0,0,0
"35","Ashtabula Area City","Ashtabula","Region 5",486.714285714286,92.5,23.2714285714286,0,41.5428571428571,49.5714285714286,91.1142857142857
"36","Athens City","Athens","Region 16",420.833333333333,93.4,16.5333333333333,0,0,6.83333333333333,6.83333333333333
"37","Auglaize County Educational Academy","Allen","Region 6",83,98.8,2.2,0,0,0,0
"38","Aurora Academy","Lucas","Region 1",149,84,62.2,0,32.5,0,32.5
"39","Aurora City","Portage","Region 8",589.6,96.3,3.66,0,4,2,6
"40","Austintown Local Schools","Mahoning","Region 5",1109.5,93.75,16.025,0,58.25,98.125,156.375
"41","Autism Model School","Lucas","Region 1",107,89,36.8,0,0,0,0
"42","Avon Lake City","Lorain","Region 2",538.428571428571,95.8142857142857,4.98571428571429,0,3.57142857142857,16.7142857142857,20.2857142857143
"43","Avon Local","Lorain","Region 2",864.2,95.98,4.72,0,5.3,0,5.3
"44","Ayersville Local","Defiance","Region 1",245.333333333333,95.6333333333333,6.3,0,3.83333333333333,0,3.83333333333333
"45","Barberton City","Summit","Region 8",910.75,92.225,22.225,0,71.025,171.75,242.775
"46","Barnesville Exempted Village","Belmont","Region 12",457.333333333333,94.5333333333333,10.8,0,0,0,0
"47","Batavia Local","Clermont","Region 13",748.333333333333,93.1666666666667,18,0,21.8666666666667,18.6,40.4666666666667
"48","Bath Local","Allen","Region 6",567.333333333333,95.3333333333333,7.3,0,21,0,21
"49","Bay Village City","Cuyahoga","Region 3",603.5,96.05,4.375,0,0,6,6
"50","Beachwood City","Cuyahoga","Region 3",366,95.45,8.175,0,0,21,21
"51","Beacon Academy","Stark","Region 9",178,90.5,38.9,0,176,0,176
"52","Beacon Hill Academy","Wayne","Region 9",57,97.4,3.5,0,0,0,0
"53","Beaver Local","Columbiana","Region 5",574,93.1666666666667,18.2,0,0,13,13
"54","Beavercreek City","Greene","Region 10",765.5,95.77,6.16,0,10.1,16.75,26.85
"55","Bedford City","Cuyahoga","Region 3",534,93.2333333333333,19.2333333333333,0,136.033333333333,230.416666666667,366.45
"56","Bella Academy of Excellence","Cuyahoga","Region 3",283,90.4,41.1,0,56,26,82
"57","Bellaire Local","Belmont","Region 12",393.666666666667,91.3666666666667,30.0333333333333,0,0,0,0
"58","Bellbrook-Sugarcreek Local","Greene","Region 10",658.75,96.05,5.4,0,0,0,0
"59","Bellefontaine City","Logan","Region 6",578.75,94.625,12.2,0,0,14.25,14.25
"60","Bellevue City","Huron","Region 2",667,95.2,8.25,0,8.5,0,8.5
"61","Bellevue City","Sandusky","Region 2",573,94.4,13.6,0,0,0,0
"62","Belpre City","Washington","Region 16",482,94,16.95,0,8.5,19,27.5
"63","Benjamin Logan Local","Logan","Region 6",558.333333333333,95.9,5.46666666666667,0,7.16666666666667,0,7.16666666666667
"64","Bennett Venture Academy","Lucas","Region 1",677,93.3,20.1,0,207.3,22,229.3
"65","Benton Carroll Salem Local","Ottawa","Region 1",477.666666666667,96.7666666666667,3.16666666666667,0,0,0,0
"66","Berea City","Cuyahoga","Region 3",958.666666666667,94.55,10.35,0,41,44.8333333333333,85.8333333333333
"67","Berkshire Local","Geauga","Region 4",412.666666666667,95.2666666666667,9,0,0,15,15
"68","Berne Union Local","Fairfield","Region 11",410,94.35,12.2,0,0,0,0
"69","Bethel-Tate Local","Clermont","Region 13",374.5,94.45,11.175,0,19.425,16.5,35.925
"70","Bethel Local","Miami","Region 10",485.333333333333,95.2666666666667,8.66666666666667,0,8.5,0,8.5
"71","Bexley City","Franklin","Region 11",498.2,95.68,5.7,0,0,4.2,4.2
"72","Big Walnut Local","Delaware","Region 11",530,95.6142857142857,5.02857142857143,0,1.61428571428571,10.5,12.1142857142857
"73","Bio-Med Science Academy STEM School","Portage","Region 8",607,94.3,11.5,0,0,0,0
"74","Black River Local","Ashland","Region 7",375.666666666667,94.7666666666667,9.53333333333333,0,0,5.66666666666667,5.66666666666667
"75","Blanchester Local","Clinton","Region 14",365,94.75,9.575,0,30.75,4.75,35.5
"76","Bloom-Carroll Local","Fairfield","Region 11",508.5,95.225,7.2,0,5.25,3.25,8.5
"77","Bloom-Vernon Local","Scioto","Region 15",421.5,94.95,9.95,0,0,35,35
"78","Bloomfield-Mespo Local","Trumbull","Region 5",116.5,93.45,15.65,0,0,0,0
"79","Bluffton Exempted Village","Allen","Region 6",375.333333333333,95.7333333333333,6.26666666666667,0,0,0,0
"80","Boardman Local","Mahoning","Region 5",577.714285714286,95.2142857142857,8.87142857142857,0,12.8571428571429,0,12.8571428571429
"81","Botkins Local","Shelby","Region 6",299.5,96.15,6.3,0,0,0,0
"82","Bowling Green City School District","Wood","Region 1",560.2,94.8,11.22,0,10.1,14.4,24.5
"83","Bradford Exempted Village","Darke","Region 10",228.5,94.25,12.3,0,0,11.5,11.5
"84","Brecksville-Broadview Heights City","Cuyahoga","Region 3",620.666666666667,96.0333333333333,4.66666666666667,0,5.33333333333333,0,5.33333333333333
"85","Bridge Gate Community School","Franklin","Region 11",247,90.8,25.5,0,12.2,0,12.2
"86","Bridgeport Exempted Village","Belmont","Region 12",257.666666666667,94.5,11.9333333333333,0,0,0,0
"87","Bridges Community Academy","Seneca","Region 7",139,90.2,40.5,0,0,0,0
"88","Bright Local","Highland","Region 14",238,94.3666666666667,10.5666666666667,0,5,13.3333333333333,18.3333333333333
"89","Bristol Local","Trumbull","Region 5",250,94.45,11.75,0,0,0,0
"90","Broadway Academy","Cuyahoga","Region 3",162,83.5,62.1,0,22,0,22
"91","Brookfield Local","Trumbull","Region 5",326.666666666667,92.9333333333333,20.0333333333333,0,8.33333333333333,0,8.33333333333333
"92","Brooklyn City","Cuyahoga","Region 3",560,93.2,18.1,0,16.5,10,26.5
"93","Brookville Local","Montgomery","Region 10",488,96.3,4.7,0,6.66666666666667,0,6.66666666666667
"94","Brookwood Academy","Franklin","Region 11",75,78.1,67.8,0,0,0,0
"95","Brown Local","Carroll","Region 12",203.666666666667,94.7333333333333,9.16666666666667,0,4,5,9
"96","Brunswick City","Medina","Region 8",620.909090909091,95.4636363636364,7.11818181818182,0,18.1545454545455,26,44.1545454545455
"97","Bryan City","Williams","Region 1",958.5,95.55,7.7,0,16,57.5,73.5
"98","Buckeye Central Local","Crawford","Region 7",196,95.5333333333333,9.63333333333333,0,7.33333333333333,8.33333333333333,15.6666666666667
"99","Buckeye Local","Ashtabula","Region 5",424.5,93.875,17.2,0,12.625,0,12.625
"100","Buckeye Local","Jefferson","Region 12",314.2,92.78,20.4,0,5.2,4.9,10.1
"101","Buckeye Local","Medina","Region 8",567,95.3,7.95,0,8,5,13
"102","Buckeye On-Line School for Success","Columbiana","Region 9",574,95.2,13.8,0,0,0,0
"103","Buckeye Preparatory Academy","Franklin","Region 11",139,83.6,64.8,0,67.8,0,67.8
"104","Buckeye Valley Local","Delaware","Region 11",540.25,94.75,10.9,0,16.2,2.5,18.7
"105","Bucyrus City","Crawford","Region 7",597,92.85,18.2,0,53.85,13.25,67.1
"106","Caldwell Exempted Village","Noble","Region 12",401.5,93.25,19.1,0,44.5,27,71.5
"107","Cambridge City","Guernsey","Region 12",482.75,94.325,13.875,0,16,40.25,56.25
"108","Campbell City","Mahoning","Region 5",530.5,91.1,28.6,0,26.1,6.5,32.6
"109","Canal Winchester Local","Fairfield","Region 11",950,94.6,11.5,0,83.2,130.5,213.7
"110","Canal Winchester Local","Franklin","Region 11",953.666666666667,94.5,11.6333333333333,0,25.4,54.2,79.6
"111","Canfield Local","Mahoning","Region 5",641.25,95.2,7.55,0,3,0,3
"112","Canton City","Stark","Region 9",381.5,94.1363636363636,16.3681818181818,0,38.8636363636364,33.3181818181818,72.1818181818182
"113","Canton College Preparatory School","Stark","Region 9",269,89.6,44.5,0,119,0,119
"114","Canton Harbor High School","Stark","Region 9",142,59.7,85.1,0,0,0,0
"115","Canton Local","Stark","Region 9",625,94.6333333333333,12.5,0,26,74.6666666666667,100.666666666667
"116","Capital High School","Franklin","Region 11",136,49.9,99.2,0,0,0,0
"117","Cardinal Local","Geauga","Region 4",288.333333333333,93.2666666666667,16.6333333333333,0,0,0,0
"118","Cardington-Lincoln Local","Morrow","Region 7",262.75,94.25,11.925,0,8.75,9.25,18
"119","Carey Exempted Village Schools","Wyandot","Region 7",421.5,95.65,5.4,0,5,12.5,17.5
"120","Carlisle Local","Warren","Region 13",382.5,95.325,7.8,0,5.75,0,5.75
"121","Carrollton Exempted Village","Carroll","Region 12",376.2,94.16,14.52,0,9.4,10,19.4
"122","Cedar Cliff Local","Greene","Region 10",303,95.8,6.9,0,0,0,0
"123","Celina City","Mercer","Region 6",501.4,95.46,7.76,0,10.96,40.6,51.56
"124","Centerburg Local","Knox","Region 7",361.666666666667,94.6,12.0333333333333,0,0,0,0
"125","Centerville City","Montgomery","Region 10",666.75,95.7083333333333,6.63333333333333,0,3.91666666666667,0,3.91666666666667
"126","Central Academy of Ohio","Lucas","Region 1",121,84,60,0,0,0,0
"127","Central High School","Franklin","Region 11",142,47.2,94.7,0,0,0,0
"128","Central Local","Defiance","Region 1",316.666666666667,95.4,8.7,0,0,0,0
"129","Cesar Chavez College Preparatory School","Franklin","Region 11",326,93.3,18.2,0,88,0,88
"130","Chagrin Falls Exempted Village","Cuyahoga","Region 3",455.333333333333,95.7666666666667,4.76666666666667,0,0,0,0
"131","Chagrin Falls Exempted Village","Geauga","Region 3",486,95.5,4.7,0,0,0,0
"132","Champion Local","Trumbull","Region 5",441.333333333333,95.0333333333333,9.26666666666667,0,0,17.6666666666667,17.6666666666667
"133","Chapelside Cleveland Academy","Cuyahoga","Region 3",295,88.4,48.7,0,187.5,0,187.5
"134","Chardon Local","Geauga","Region 4",671.5,95.25,7.65,0,7,0,7
"135","Charles School at Ohio Dominican University","Franklin","Region 11",340,91,30,0,16,0,16
"136","Chesapeake Union Exempted Village","Lawrence","Region 15",429.333333333333,93.8,15.7,0,0,0,0
"137","Chillicothe City","Ross","Region 15",627.25,89.75,31.575,0,71.15,0,71.15
"138","Chippewa Local","Wayne","Region 9",427,95.0333333333333,10.4666666666667,0,13.1333333333333,22.9333333333333,36.0666666666667
"139","Cincinnati College Preparatory Academy","Hamilton","Region 13",942,91.6,29.4,0,0,0,0
"140","Cincinnati Public Schools","Hamilton","Region 13",626.947368421053,89.3105263157895,36.7736842105263,0.22280701754386,0.219298245614035,28.9087719298246,29.3508771929825
"141","Cincinnati Technology Academy","Hamilton","Region 13",218,90.4,35.3,0,0,0,0
"142","Circleville City","Pickaway","Region 11",701,92.7,21.3666666666667,0,25.6666666666667,49.3333333333333,75
"143","Citizens Leadership Academy East","Cuyahoga","Region 3",149,92.8,25.6,0,0,0,0
"144","City Day Community School","Montgomery","Region 10",159,86.1,59.4,0,0,0,0
"145","Clark-Shawnee Local","Clark","Region 10",369,94.78,11.26,0,6.66,32.1,38.76
"146","Clark Preparatory Academy","Clark","Region 10",104,89.6,40.4,0,29,0,29
"147","Clay Avenue Community School","Lucas","Region 1",400,89,47.3,0,78,0,78
"148","Clay Local","Scioto","Region 15",229.333333333333,94.2333333333333,17.4,0,0,33,33
"149","Claymont City","Tuscarawas","Region 12",356.2,93.92,15.46,0,20,56.4,76.4
"150","Clear Fork Valley Local","Richland","Region 7",403.25,95.275,8.1,0,0,0,0
"151","Clearview Local","Lorain","Region 2",541.666666666667,91.8666666666667,25.2666666666667,0,64.9333333333333,0,64.9333333333333
"152","Clermont Northeastern Local","Clermont","Region 13",457,93.7,16.4666666666667,0,9.36666666666667,10.6666666666667,20.0333333333333
"153","Cleveland Academy for Scholarship Technology and Leadership","Cuyahoga","Region 3",264,65.7,83.6,0,27,0,27
"154","Cleveland Arts and Social Sciences Academy","Cuyahoga","Region 3",295,88.2,48.7,0,35,0,35
"155","Cleveland Heights-University Heights City","Cuyahoga","Region 3",514.9,93.1,20.41,0,72.63,170.85,243.48
"156","Cleveland Municipal","Cuyahoga","Region 3",351.162601626016,90.4593495934959,31.7382113821138,0,61.9577235772358,9.08943089430894,71.0471544715447
"157","Cleveland Preparatory Academy","Cuyahoga","Region 3",154,79.4,69.4,0,35.2,17,52.2
"158","Cliff Park High School","Clark","Region 10",178,40.1,96.9,0,0,0,0
"159","Clinton-Massie Local","Clinton","Region 14",550,95.3333333333333,7.23333333333333,0,8.33333333333333,16.5,24.8333333333333
"160","Cloverleaf Local","Medina","Region 8",752.333333333333,95.0666666666667,9.73333333333333,0,14.6666666666667,0,14.6666666666667
"161","Clyde-Green Springs Exempted Village","Sandusky","Region 1",530.25,95.3,8.15,0,8.45,38.325,46.775
"162","Coldwater Exempted Village","Mercer","Region 6",442,96.3666666666667,3.56666666666667,0,0,0,0
"163","Colonel Crawford Local","Crawford","Region 7",229.25,95.95,4.25,0,0,3.5,3.5
"164","Columbia Local","Lorain","Region 2",276.666666666667,95.2,7.9,0,3.33333333333333,0,3.33333333333333
"165","Columbiana Exempted Village","Columbiana","Region 5",353.333333333333,94.3333333333333,12.5666666666667,0,0,0,0
"166","Columbus Arts & Technology Academy","Franklin","Region 11",569,90.9,29.7,0,111,0,111
"167","Columbus Bilingual Academy-North","Franklin","Region 11",296,91.8,27,0,0,0,0
"168","Columbus City School District","Franklin","Region 11",443.754545454545,88.0247706422018,40.4440366972477,0,68.8440366972477,96.743119266055,165.587155963303
"169","Columbus Collegiate Academy","Franklin","Region 11",237,92.5,26.5,0,71,0,71
"170","Columbus Collegiate Academy - West","Franklin","Region 11",240,89.4,36,0,92,0,92
"171","Columbus Grove Local","Putnam","Region 1",278.666666666667,97,3.5,0,0,0,0
"172","Columbus Humanities, Arts and Technology Academy","Franklin","Region 11",560,93.9,16.3,0,36,0,36
"173","Columbus Performance Academy","Franklin","Region 11",193,92.6,22.8,0,97,0,97
"174","Columbus Preparatory Academy","Franklin","Region 11",810,95.5,5.8,0,0,0,0
"175","Columbus Preparatory and Fitness Academy","Franklin","Region 11",419,91.9,24.6,0,29.5,0,29.5
"176","Conneaut Area City","Ashtabula","Region 5",387,93.425,17.55,0,11.575,0,11.575
"177","Conotton Valley Union Local","Carroll","Region 12",201.5,93.95,15.6,0,0,24,24
"178","Constellation Schools: Eastside Arts Academy","Cuyahoga","Region 3",126,90.9,31.4,0,0,0,0
"179","Constellation Schools: Elyria Community","Lorain","Region 2",488,94.3,12.7,0,15,0,15
"180","Constellation Schools: Lorain Community Elementary","Lorain","Region 2",182,93.1,19.9,0,0,0,0
"181","Constellation Schools: Lorain Community Middle","Lorain","Region 2",132,93.2,17.6,0,0,0,0
"182","Constellation Schools: Madison Community Elementary","Cuyahoga","Region 3",248,92,25.5,0,22,0,22
"183","Constellation Schools: Old Brooklyn Community Elementary","Cuyahoga","Region 3",329,94,16,0,0,0,0
"184","Constellation Schools: Old Brooklyn Community Middle","Cuyahoga","Region 3",268,94,15.3,0,0,0,0
"185","Constellation Schools: Parma Community","Cuyahoga","Region 3",1412,93.4,18,0,72,0,72
"186","Constellation Schools: Puritas Community Elementary","Cuyahoga","Region 3",202,93.1,22,0,0,0,0
"187","Constellation Schools: Puritas Community Middle","Cuyahoga","Region 3",173,94.6,13.3,0,0,0,0
"188","Constellation Schools: Stockyard Community Elementary","Cuyahoga","Region 3",255,91.3,29.2,0,21,0,21
"189","Constellation Schools: Stockyard Community Middle","Cuyahoga","Region 3",66,91.3,28.9,0,0,0,0
"190","Constellation Schools: Westpark Community Elementary","Cuyahoga","Region 3",315,93.2,21.1,0,0,0,0
"191","Constellation Schools: Westpark Community Middle","Cuyahoga","Region 3",224,93.8,18.7,0,12,0,12
"192","Constellation Schools: Westside Community School of the Arts","Cuyahoga","Region 3",326,91.8,25.5,0,16,0,16
"193","Continental Local","Putnam","Region 1",233,95.95,4.85,0,0,5.5,5.5
"194","Copley-Fairlawn City","Summit","Region 8",559.2,95.64,7.14,0,3.4,0,3.4
"195","Cornerstone Academy Community School","Franklin","Region 11",794,95.9,5.4,0,26,25,51
"196","Cory-Rawson Local","Hancock","Region 1",258.5,95.85,5.8,0,0,0,0
"197","Coshocton City","Coshocton","Region 12",766,94.5,11.2,0,9.5,103.25,112.75
"198","Coshocton Opportunity School","Coshocton","Region 12",40,89.6,31.1,0,0,0,0
"199","Coventry Local","Summit","Region 8",610.333333333333,94.1666666666667,13.3666666666667,0,12.6666666666667,46.1666666666667,58.8333333333333
"200","Covington Exempted Village","Miami","Region 10",252,95.9333333333333,6.2,0,0,0,0
"201","Crestline Exempted Village","Crawford","Region 7",237.5,93.35,17.2,0,9.5,22.25,31.75
"202","Crestview Local","Columbiana","Region 5",401.333333333333,93.8666666666667,14.2333333333333,0,0,0,0
"203","Crestview Local","Richland","Region 7",343,95.2666666666667,7.36666666666667,0,6.66666666666667,0,6.66666666666667
"204","Crestview Local","Van Wert","Region 1",266.333333333333,96.2666666666667,4.3,0,0,0,0
"205","Crestwood Local","Portage","Region 8",411.5,93.675,15.125,0,23.25,0,23.25
"206","Crooksville Exempted Village","Perry","Region 16",361.666666666667,94.4,13.5,0,0,0,0
"207","Cuyahoga Falls City","Summit","Region 8",498.777777777778,94.5777777777778,11.3777777777778,0,10,0,10
"208","Cuyahoga Heights Local","Cuyahoga","Region 3",266.666666666667,96.4333333333333,3.43333333333333,0,0,0,0
"209","Dalton Local","Wayne","Region 9",281,96,5.16666666666667,0,0,0,0
"210","Danbury Local","Ottawa","Region 1",178.333333333333,94.8,8.6,0,0,0,0
"211","Danville Local","Knox","Region 7",203.666666666667,95.4,8.2,0,0,0,0
"212","Dawson-Bryant Local","Lawrence","Region 15",359.666666666667,94.0333333333333,17.1666666666667,0,0,6.66666666666667,6.66666666666667
"213","Dayton Business Technology High School","Montgomery","Region 10",118,66,88.6,0,22,0,22
"214","Dayton City","Montgomery","Region 10",481.769230769231,88.8230769230769,35.6423076923077,0,107.46,0,107.46
"215","Dayton Early College Academy, Inc","Montgomery","Region 10",342,95.5,8.2,0,12.5,0,12.5
"216","Dayton Leadership Academies-Dayton View Campus","Montgomery","Region 10",435,92.4,26.9,0,103,0,103
"217","Dayton Regional STEM School","Montgomery","Region 10",652,96.2,5.6,0,0,0,0
"218","Dayton SMART Elementary School","Montgomery","Region 10",110,90,37.6,0,20,0,20
"219","DECA PREP","Montgomery","Region 10",905,93.4,20,0,144,39,183
"220","Deer Park Community City","Hamilton","Region 13",601.5,93.15,18.9,0,15.5,48,63.5
"221","Defiance City","Defiance","Region 1",804.666666666667,94.7333333333333,12.0333333333333,0,5,36.8333333333333,41.8333333333333
"222","Delaware City","Delaware","Region 11",797.428571428571,94.9285714285714,9.84285714285714,0,16.2142857142857,16,32.2142857142857
"223","Delphos City","Allen","Region 6",205.5,96.9,3.25,0,0,0,0
"224","Delphos City","Van Wert","Region 6",243.5,94.8,12.1,0,7,5,12
"225","Discovery Academy","Lucas","Region 1",341,90.7,33,0,96,0,96
"226","Dohn Community","Hamilton","Region 13",688,47.5,97.4,0,0,0,0
"227","Dover City","Tuscarawas","Region 12",536,95.64,6.42,0,0,0,0
"228","Dublin City","Delaware","Region 11",676.333333333333,95.8,4.6,0,0,3.33333333333333,3.33333333333333
