"","District Name","County","Region","mean_enrollment","mean_attendence","mean_chronic_absenteesim","mean_expulsions","mean_out_of_school_suspensions","mean_in_school_suspensions","mean_total_students_discipline"
"229","Dublin City","Franklin","Region 11",866.333333333333,95.26,8.64666666666667,0,9.98,25.4666666666667,35.4466666666667
"230","Dublin City","Union","Region 11",687,96.2,4.2,0,0,0,0
"231","Eagle Learning Center","Lucas","Region 1",71,40.1,92,0,0,0,0
"232","Early College Academy","Franklin","Region 11",161,42.8,98.8,0,0,0,0
"233","East Academy","Cuyahoga","Region 3",306,85.2,55.7,0,49,0,49
"234","East Branch Preparatory AcademydbaWright Preparatory Academy","Stark","Region 9",136,86.9,47.4,0,53,0,53
"235","East Bridge Academy of Excellence","Franklin","Region 11",63,90.5,36.3,0,0,0,0
"236","East Cleveland City School District","Cuyahoga","Region 3",321.5,89.4333333333333,38.0166666666667,0,20.9166666666667,33.1666666666667,54.0833333333333
"237","East Clinton Local","Clinton","Region 14",308.75,93.9,13.4,0,7.75,21.25,29
"238","East Guernsey Local","Guernsey","Region 12",338.666666666667,93.2,19.4,0,0,25.2666666666667,25.2666666666667
"239","East Holmes Local","Holmes","Region 12",198.25,96.525,2.5,0,0,0,0
"240","East Knox Local","Knox","Region 7",446.5,94.7,9.45,0,5.5,7,12.5
"241","East Liverpool City","Columbiana","Region 5",425.6,90.52,35.76,0,24.86,8.8,33.66
"242","East Muskingum Local","Guernsey","Region 12",117,95.9,4.1,0,0,0,0
"243","East Muskingum Local","Muskingum","Region 12",399.8,94.94,9.88,0,2.2,11.5,13.7
"244","East Palestine City","Columbiana","Region 5",356,92.5,19.2666666666667,0,5,13.6666666666667,18.6666666666667
"245","East Preparatory Academy","Cuyahoga","Region 3",198,91.2,33.2,0,19.5,0,19.5
"246","Eastern Local","Brown","Region 14",305.75,95.65,5.925,0,3.5,3.25,6.75
"247","Eastern Local","Meigs","Region 16",397.5,92.85,20.8,0,0,30,30
"248","Eastern Local School District","Pike","Region 15",205.25,93.425,18.45,0,4.75,24.75,29.5
"249","Eastland Preparatory Academy","Franklin","Region 11",254,83.3,59.8,0,27,29,56
"250","Eastwood Local","Wood","Region 1",470,95.9666666666667,5.53333333333333,0,0,0,0
"251","Eaton Community City","Preble","Region 10",477.75,95.05,10.625,0,5,0,5
"252","Edge Academy, The","Summit","Region 8",239,91.4,32,0,26,0,26
"253","Edgerton Local","Williams","Region 1",283.5,95.7,6.5,0,0,0,0
"254","Edgewood City","Butler","Region 13",708,93.78,15.08,0,21.5,22.66,44.16
"255","Edison Local","Jefferson","Region 12",366,93.875,15.85,0,35.5,0,35.5
"256","Edison Local (formerly Berlin-Milan)","Erie","Region 2",488,94.9333333333333,10.1666666666667,0,6.83333333333333,0,6.83333333333333
"257","Edon Northwest Local","Williams","Region 1",239,95.05,9.1,0,0,0,0
"258","Educational Academy for Boys & Girls","Franklin","Region 11",129,92.9,23.7,0,0,0,0
"259","Elgin Local","Marion","Region 7",341,93.7,15.1,0,6,4,10
"260","Elida Local","Allen","Region 6",751,94,14.6666666666667,0,49.5666666666667,10.3666666666667,59.9333333333333
"261","Elmwood Local","Wood","Region 1",409,96.3,5.66666666666667,0,4.33333333333333,0,4.33333333333333
"262","Elyria City Schools","Lorain","Region 2",504.5,92.6166666666667,20.65,1,46.0666666666667,8.08333333333333,55.15
"263","Emerson Academy","Montgomery","Region 10",633,91.3,36.4,0,236.5,0,236.5
"264","Euclid City","Cuyahoga","Region 3",793,91.1166666666667,30.35,0,175.166666666667,0,175.166666666667
"265","Euclid Preparatory School","Cuyahoga","Region 3",251,88,47.6,0,290.3,0,290.3
"266","Everest High School","Franklin","Region 11",52,37.8,93.5,0,0,0,0
"267","Evergreen Local","Fulton","Region 1",392.666666666667,96.2,4.86666666666667,0,0,0,0
"268","Fairbanks Local","Union","Region 11",353.666666666667,95.9666666666667,5.36666666666667,0,0,0,0
"269","Fairborn City","Greene","Region 10",1039.5,92.825,20.325,0,78.275,89.375,167.65
"270","Fairborn Digital Academy","Greene","Region 10",145,99.9,0.5,0,0,0,0
"271","Fairfield City","Butler","Region 13",921.5,94.84,11.04,0,56.18,136.9,193.08
"272","Fairfield Local","Highland","Region 14",300.666666666667,95.0333333333333,10.3666666666667,0,0,13.3333333333333,13.3333333333333
"273","Fairfield Union Local","Fairfield","Region 11",475.5,94.8,11.15,0,8.875,7.75,16.625
"274","Fairland Local","Lawrence","Region 15",390.75,94.4,13.825,0,0,0,0
"275","Fairlawn Local","Shelby","Region 6",286.5,95.25,5.8,0,0,6.25,6.25
"276","Fairless Local","Stark","Region 9",487.333333333333,98.5333333333333,1.93333333333333,0,9.33333333333333,36.6666666666667,46
"277","Fairport Harbor Exempted Village","Lake","Region 4",342.5,92.9,19.45,0,35.5,23.5,59
"278","Fairview Park City","Cuyahoga","Region 3",413.25,95.375,7.725,0,5,0,5
"279","Fayette Local","Fulton","Region 1",205,94.45,12.5,0,0,0,0
"280","Fayetteville-Perry Local","Brown","Region 14",262,94.6333333333333,10.7333333333333,0,4,6,10
"281","Federal Hocking Local","Athens","Region 16",251.5,92.75,22.575,0,0,0,0
"282","Felicity-Franklin Local","Clermont","Region 13",250.333333333333,93.8666666666667,17.0333333333333,0,0,0,0
"283","Field Local","Portage","Region 8",475.25,94.525,11.775,0,7.75,32.375,40.125
"284","Findlay City","Hancock","Region 1",436.916666666667,94.3583333333333,11.525,0,12.9333333333333,23.4,36.3333333333333
"285","Findlay Digital Academy","Hancock","Region 1",127,100,0,0,0,0,0
"286","Finneytown Local","Hamilton","Region 13",448,94.0333333333333,15.6666666666667,0,24.9,0,24.9
"287","Firelands Local","Lorain","Region 2",535.333333333333,94.4333333333333,12.2333333333333,0,10.9333333333333,0,10.9333333333333
"288","Flex High School","Franklin","Region 11",237,55.9,86.1,0,0,0,0
"289","Focus Learning Academy of Northern Columbus","Franklin","Region 11",482,94.8,14.1,0,20,71,91
"290","Focus Learning Academy of Southeastern Columbus","Franklin","Region 11",220,41.8,99.5,0,0,0,0
"291","Focus Learning Academy of Southwest Columbus","Franklin","Region 11",234,37.6,99.8,0,0,0,0
"292","Focus North High School","Franklin","Region 11",185,41.5,97.8,0,0,0,0
"293","Forest Hills Local","Hamilton","Region 13",807.111111111111,95.6222222222222,6.47777777777778,0,9.77777777777778,0,9.77777777777778
"294","Fort Frye Local","Morgan","Region 16",147,94.9,6.8,0,15,0,15
"295","Fort Frye Local","Washington","Region 16",273,95.0333333333333,9,0,0,9.66666666666667,9.66666666666667
"296","Fort Loramie Local","Shelby","Region 6",359,98.1,0.7,0,0,0,0
"297","Fort Recovery Local","Mercer","Region 6",333,97.1,2.1,0,0,0,0
"298","Fostoria City","Seneca","Region 1",367,92.5666666666667,25.6666666666667,0,13.6666666666667,0,13.6666666666667
"299","Fostoria City","Wood","Region 1",711,90.2,33.8,0,343,0,343
"300","Foundation Academy","Richland","Region 7",396,93.6,17.4,0,60,50.5,110.5
"301","Franklin City","Warren","Region 13",343.875,94.1125,13.575,0,9.125,5.5,14.625
"302","Franklin Local","Muskingum","Region 12",468.5,94.075,13.75,0,13.25,26.375,39.625
"303","Franklin Local Community School","Muskingum","Region 12",54,83.1,73.2,0,23.5,45,68.5
"304","Franklin Monroe Local","Darke","Region 10",292.5,96.65,3.1,0,0,0,0
"305","Franklinton Preparatory Academy","Franklin","Region 11",168,80,62.7,0,17,0,17
"306","Frederick Douglass High School","Cuyahoga","Region 3",71,41.8,100,0,0,0,0
"307","Fredericktown Local","Knox","Region 7",398,95.1333333333333,9.36666666666667,0,14.5,0,14.5
"308","Fremont City","Sandusky","Region 1",391.111111111111,94.6777777777778,11.4111111111111,0,23.2777777777778,25.4444444444444,48.7222222222222
"309","Frontier Local","Washington","Region 16",145.5,93.2,18.05,0,0,0,0
"310","Gahanna-Jefferson City","Franklin","Region 11",680.818181818182,95.5909090909091,6.54545454545454,0,33.9090909090909,26.9090909090909,60.8181818181818
"311","Galion City","Crawford","Region 7",422.5,93.875,14.975,0,39.175,0,39.175
"312","Gallia County Local","Gallia","Region 16",271.875,93.1,19.5,0,1.875,3.5,5.375
"313","Gallipolis City","Gallia","Region 16",400.8,94.4,12.38,0,0,0,0
"314","Garaway Local","Tuscarawas","Region 12",240.4,96.58,4.02,0,0,0,0
"315","Garfield Heights City Schools","Cuyahoga","Region 3",695.8,92.52,24.12,0,136.2,70,206.2
"316","Geneva Area City","Ashtabula","Region 5",442.8,93.46,18.42,0,21.36,0,21.36
"317","Genoa Area Local","Ottawa","Region 1",429.333333333333,96.0333333333333,5.3,0,0,3.33333333333333,3.33333333333333
"318","George V. Voinovich High School","Cuyahoga","Region 3",35,44.7,100,0,0,0,0
"319","Georgetown Exempted Village","Brown","Region 14",525.5,93.65,16.35,0,15,195,210
"320","Gibsonburg Exempted Village","Sandusky","Region 1",292.333333333333,95.8,6.73333333333333,0,0,0,0
"321","Girard City School District","Trumbull","Region 5",422.25,92.05,23.8,0,7.625,25.875,33.5
"322","Glass City Academy","Lucas","Region 1",199,40.5,98.9,0,15,0,15
"323","Global Ambassadors Language Academy","Cuyahoga","Region 3",181,93.7,15,0,0,0,0
"324","Global Impact STEM Academy","Clark","Region 10",640,95,9.6,0,0,0,0
"325","Global Village Academy","Cuyahoga","Region 3",189,95.3,3.2,0,0,0,0
"326","Goal Digital Academy","Richland","Region 7",650,75.1,53.4,0,0,0,0
"327","Goshen Local","Clermont","Region 13",694.5,94.25,14.125,0,14.875,16.875,31.75
"328","Graham Elementary and Middle School","Franklin","Region 11",435,89.5,41.7,0,151.2,0,151.2
"329","Graham Local","Champaign","Region 6",572.333333333333,94.6666666666667,11.3,0,14.8666666666667,12.4,27.2666666666667
"330","Graham School, The","Franklin","Region 11",242,90.5,36.6,0,31,0,31
"331","Grand Valley Local","Ashtabula","Region 5",355.333333333333,93.8666666666667,14.4333333333333,0,3.33333333333333,0,3.33333333333333
"332","Grandview Heights Schools","Franklin","Region 11",264.25,95.45,5.925,0,0,0,0
"333","Granville Exempted Village","Licking","Region 11",606,95.55,5.7,0,0,0,0
"334","Great River Connections Academy","Franklin","Region 11",554,77.3,40.7,0,0,0,0
"335","Great Western Academy","Franklin","Region 11",762,92,25.5,0,74,106,180
"336","Greater Ohio Virtual School","Warren","Region 13",404,99.3,3.9,0,0,0,0
"337","Greater Summit County Early Learning Center","Summit","Region 8",139,95,5,0,0,0,0
"338","Green Inspiration Academy","Cuyahoga","Region 3",254,91.1,33.1,0,43.3,0,43.3
"339","Green Local","Scioto","Region 15",190,92.4,21.4666666666667,0,0,0,0
"340","Green Local","Summit","Region 8",800,95.32,7.4,0,8.88,34.4,43.28
"341","Green Local","Wayne","Region 9",344,95.6666666666667,7.93333333333333,0,0,4.66666666666667,4.66666666666667
"342","Greeneview Local","Greene","Region 10",424.666666666667,94.7666666666667,10.0333333333333,0,13.6666666666667,25.8333333333333,39.5
"343","Greenfield Exempted Village","Highland","Region 14",426.75,95.05,9.475,0,6.75,0,6.75
"344","Greenfield Exempted Village","Ross","Region 14",203,95.2,11.6,0,0,0,0
"345","Greenon Local","Clark","Region 10",374.5,94.15,13.625,0,7,0,7
"346","Greenville City","Darke","Region 10",834.333333333333,93.3666666666667,15.9,0,43.3333333333333,55,98.3333333333333
"347","Groveport Community School","Franklin","Region 11",761,92.7,22.4,0,95.3,0,95.3
"348","Groveport Madison Local","Franklin","Region 11",536.272727272727,91.1909090909091,27.2636363636364,0,35.6363636363636,45.5454545454545,81.1818181818182
"349","Hamilton City","Butler","Region 13",824.916666666667,91.275,24.8083333333333,2.35833333333333,120.983333333333,0,123.341666666667
"350","Hamilton Cnty Math & Science","Hamilton","Region 13",619,95,14.3,0,0,0,0
"351","Hamilton Local","Franklin","Region 11",734.5,93.9,12.875,0,42.85,151.4,194.25
"352","Hardin-Houston Local","Shelby","Region 6",394.5,95.45,7.65,0,20.5,0,20.5
"353","Hardin Community School","Hardin","Region 6",33,88.5,45.3,0,0,0,0
"354","Hardin Northern Local","Hardin","Region 6",197,95.45,6.65,0,0,0,0
"355","Harrisburg Pike Community School","Franklin","Region 11",201,80.4,73.1,0,11.5,0,11.5
"356","Harrison Hills City","Harrison","Region 12",492,93.8333333333333,16.2,0,0,97,97
"357","Harvard Avenue Performance Academy","Cuyahoga","Region 3",338,90.5,33.5,0,51.8,0,51.8
"358","Heath City","Licking","Region 11",410.25,94.35,13.6,0,6.3,11.25,17.55
"359","Heir Force Community School","Allen","Region 6",241,93.2,21,0,0,0,0
"360","Hicksville Exempted Village","Defiance","Region 1",451,95.25,9.15,0,0,0,0
"361","Highland Local","Medina","Region 8",645,95.78,6,0,2.1,0,2.1
"362","Highland Local","Morrow","Region 7",600.666666666667,94.3333333333333,11.2,0,3.66666666666667,4.66666666666667,8.33333333333333
"363","Hilliard City","Franklin","Region 11",710.5,96.1272727272727,5.58636363636364,0,13.7545454545455,13.3181818181818,27.0727272727273
"364","Hillsboro City","Highland","Region 14",462.4,93.66,16.78,0,36.8,43,79.8
"365","Hillsdale Local","Ashland","Region 7",257,95.6666666666667,6.86666666666667,0,0,0,0
"366","Holgate Local","Henry","Region 1",213.5,96.5,3.05,0,0,0,0
"367","Hope Academy for Autism","Trumbull","Region 5",48,89.5,41.6,0,0,0,0
"368","Hope Academy Northcoast","Cuyahoga","Region 3",297,87.1,51.8,0,184.4,0,184.4
"369","Hope Academy Northwest Campus","Cuyahoga","Region 3",222,85.5,55.8,0,95,0,95
"370","Hope Learning Academy of Toledo","Lucas","Region 1",67,92.7,24.1,0,0,0,0
"371","Hopewell-Loudon Local","Seneca","Region 7",394.5,96.15,5.4,0,0,5.5,5.5
"372","Horizon Science Academy-Cincinnati","Hamilton","Region 13",225,87.4,54.5,0,135.5,30,165.5
"373","Horizon Science Academy-Cleveland Middle School","Cuyahoga","Region 3",334,91.4,32.3,0,91.5,107,198.5
"374","Horizon Science Academy-Dayton","Montgomery","Region 10",162,90.4,38.9,0,27,0,27
"375","Horizon Science Academy-Denison Middle School","Cuyahoga","Region 3",326,91.1,34.4,0,153,54,207
"376","Horizon Science Academy-Springfield","Lucas","Region 1",364,90.2,43.3,0,257,119.5,376.5
"377","Horizon Science Academy Columbus","Franklin","Region 11",492,95.1,11.6,0,186,0,186
"378","Horizon Science Academy Columbus Middle School","Franklin","Region 11",505,94,17.3,0,116.5,157.5,274
"379","Horizon Science Academy Dayton Downtown","Montgomery","Region 10",219,93.4,21,0,32.5,43,75.5
"380","Horizon Science Academy Dayton High School","Montgomery","Region 10",310,89.4,40.9,0,167,0,167
"381","Horizon Science Academy Elementary School","Franklin","Region 11",486,96.1,6.8,0,11.5,22,33.5
"382","Horizon Science Academy Lorain","Lorain","Region 3",714,93.2,21.5,0,40,65.5,105.5
"383","Horizon Science Academy Primary","Franklin","Region 11",260,95.5,8.7,0,0,0,0
"384","Horizon Science Academy Toledo","Lucas","Region 1",529,92.9,23,0,93,189,282
"385","Horizon Science Academy Youngstown","Mahoning","Region 5",395,90.4,38.8,0,94,94,188
"386","Howland Local","Trumbull","Region 5",423.5,94.0333333333333,14.4,0,17.7,0,17.7
"387","Hubbard Exempted Village","Trumbull","Region 5",633.666666666667,94.2666666666667,12.5,0,6,0,6
"388","Huber Heights City","Montgomery","Region 10",803.857142857143,94.2714285714286,13.3714285714286,0,19.3428571428571,0,19.3428571428571
"389","Hudson City","Summit","Region 8",762.5,96.15,4.66666666666667,0,0,2.33333333333333,2.33333333333333
"390","Huntington Local","Ross","Region 15",349,92.7,20.1333333333333,0,19.3333333333333,0,19.3333333333333
"391","Huron City Schools","Erie","Region 2",328,95.25,7.725,0,0,0,0
"392","iLEAD Spring Meadows","Lucas","Region 1",200,92.1,18.3,0,0,0,0
"393","Imagine Akron Academy","Summit","Region 8",50,87.5,48.9,0,0,0,0
"394","Imagine Columbus Primary School","Franklin","Region 11",235,90.8,33.3,0,29.8,0,29.8
"395","Imagine Hill Avenue","Lucas","Region 1",128,94.5,14.4,0,0,0,0
"396","Imagine Leadership Academy","Summit","Region 8",169,92.5,25.4,0,32,0,32
"397","Independence Local","Cuyahoga","Region 3",355.666666666667,95.9,6,0,0,0,0
"398","Indian Creek Local","Jefferson","Region 12",402.4,91.26,33.34,0,7.8,0,7.8
"399","Indian Hill Exempted Village","Hamilton","Region 13",500.75,95.8,5.6,0,0,6.25,6.25
"400","Indian Lake Local","Logan","Region 6",477,95.6333333333333,8.03333333333333,0,0,7,7
"401","Indian Valley Local","Tuscarawas","Region 12",430,94.85,10.6,0,16,0,16
"402","Inspire Charter School - Elementary","Franklin","Region 11",37,87.9,47.7,0,0,0,0
"403","Interactive Media & Construction (IMAC)","Richland","Region 7",43,68.6,89,0,20,0,20
"404","International Acad Of Columbus","Franklin","Region 11",278,94.7,14.2,0,0,0,0
"405","Invictus High School","Cuyahoga","Region 3",413,42.7,98.7,0,14,0,14
"406","Ironton City School District","Lawrence","Region 15",442.666666666667,93.9,10.8,0,0,0,0
"407","iSTEM Geauga Early College High School","Lake","Region 4",178,96,6.9,0,0,0,0
"408","Jackson-Milton Local","Mahoning","Region 5",249.333333333333,93.9666666666667,16.5333333333333,0,0,0,0
"409","Jackson Center Local","Shelby","Region 6",255,95.9,9.3,0,0,0,0
"410","Jackson City","Jackson","Region 16",464.4,93.72,14.74,0,9.6,0,9.6
"411","Jackson Local","Stark","Region 9",971.833333333333,95.9666666666667,5.36666666666667,0,15.4666666666667,0,15.4666666666667
"412","James A Garfield Local","Portage","Region 8",456.333333333333,93.9333333333333,14.7666666666667,0,0,6.66666666666667,6.66666666666667
"413","Jefferson Area Local","Ashtabula","Region 5",413,94.575,10.275,0,11.75,4.375,16.125
"414","Jefferson Local","Madison","Region 11",380.333333333333,94.4,12.9,0,9.33333333333333,0,9.33333333333333
"415","Jefferson Township Local","Montgomery","Region 10",169,92.4,25.7,0,26,0,26
"416","Jennings Local","Putnam","Region 1",186.5,96.95,1.9,0,0,0,0
"417","Johnstown-Monroe Local","Licking","Region 11",556,94.2666666666667,12.3333333333333,0,4.33333333333333,13.6666666666667,18
"418","Jonathan Alder Local","Madison","Region 11",431.2,94.82,8.16,0,3,2,5
"419","Joseph Badger Local","Trumbull","Region 5",228,94.3666666666667,13.2666666666667,0,0,0,0
"420","Kalida Local","Putnam","Region 1",294.5,97.05,2.05,0,0,0,0
"421","Kenston Local","Geauga","Region 4",657.25,95.85,4.85,0,0,4,4
"422","Kent City","Portage","Region 8",542,94.3833333333333,13.1333333333333,0,15.25,21.1333333333333,36.3833333333333
"423","Kenton City","Hardin","Region 6",600,93.5666666666667,18.7,0,28.9333333333333,51.1666666666667,80.1
"424","Kettering City School District","Montgomery","Region 10",678.909090909091,95.9909090909091,5.69090909090909,0,26.0454545454545,68,94.0454545454545
"425","Keystone Local","Lorain","Region 2",483.333333333333,94.5333333333333,10.5333333333333,0,5,0,5
"426","Kids Care Elementary","Franklin","Region 11",103,89.8,36.8,0,19,0,19
"427","King Academy Community School","Hamilton","Region 13",125,94.8,14.5,0,0,0,0
"428","Kings Local","Warren","Region 13",737.833333333333,95.5,7.86666666666667,0,4,0,4
"429","KIPP Columbus","Franklin","Region 11",1373,92.7,22.9,0,123,0,123
"430","Kirtland Local","Lake","Region 4",394.666666666667,96.1,3.8,0,0,0,0
"431","Klepinger Community School","Montgomery","Region 10",569,88.5,45.7,0,145,0,145
"432","L. Hollingworth School for Talented and Gifted","Lucas","Region 1",340,94.5,11.2,0,0,0,0
"433","LaBrae Local","Trumbull","Region 5",269.75,93.875,14.95,0,5.5,2.5,8
"434","Lake Erie College Preparatory School","Cuyahoga","Region 3",248,85.5,59.7,0,112.1,0,112.1
"435","Lake Erie International High School","Cuyahoga","Region 3",235,32.1,99.1,0,11,0,11
"436","Lake Local","Stark","Region 9",1112.66666666667,95.8333333333333,4.53333333333333,0,13.1666666666667,46.8333333333333,60
"437","Lake Local","Wood","Region 1",533,94.7333333333333,11.0333333333333,0,0,16.6666666666667,16.6666666666667
"438","Lakeland Academy Community School","Harrison","Region 12",66,98.7,0,0,0,0,0
"439","Lakeview Local","Trumbull","Region 5",541,94.8666666666667,9.43333333333333,0,11.3333333333333,0,11.3333333333333
"440","Lakewood City","Cuyahoga","Region 3",485.4,95.28,8.67,0,10.76,0,10.76
"441","Lakewood City Academy","Cuyahoga","Region 3",91,81.4,52,0,0,0,0
"442","Lakewood Local","Licking","Region 11",449.5,93.85,15,0,3.375,61.75,65.125
"443","Lakota Local","Butler","Region 13",779.1,95.905,6.405,0,6.325,13.45,19.775
"444","Lakota Local","Sandusky","Region 1",261,94.2,14.9,0,20.8,90,110.8
"445","Lakota Local","Seneca","Region 1",354,95.4,10,0,0,26,26
"446","Lakota Local","Wood","Region 1",391,95.9,5.2,0,0,0,0
"447","Lancaster City","Fairfield","Region 11",776.625,93.725,15.875,0,56.2125,41.4125,97.625
"448","Lebanon City","Warren","Region 13",1057.6,95.52,8.6,0,12.96,2.7,15.66
"449","Leetonia Exempted Village","Columbiana","Region 5",205,92.1666666666667,25.7333333333333,0,0,0,0
"450","Leipsic Local","Putnam","Region 1",310,95.95,7.5,0,7,15,22
"451","Lexington Local","Richland","Region 7",472.4,95.2,8.3,0,8.6,0,8.6
"452","Liberty-Benton Local","Hancock","Region 1",479.666666666667,96.6,3.2,0,0,10.1666666666667,10.1666666666667
"453","Liberty Center Local","Henry","Region 1",339.666666666667,94.9666666666667,8.73333333333333,0,0,0,0
"454","Liberty High School","Montgomery","Region 10",138,41.8,92,0,0,0,0
"455","Liberty Local","Trumbull","Region 5",411.333333333333,91.7,27.7,0,28.6,194,222.6
"456","Liberty Preparatory School","Wayne","Region 9",63,70.6,88.5,0,26.3,0,26.3
"457","Liberty Union-Thurston Local","Fairfield","Region 11",407.666666666667,94.8,11.1666666666667,0,6,0,6
"458","Licking Heights Local","Licking","Region 11",883,94.86,10.96,0,34.4,44.6,79
"459","Licking Valley Local","Licking","Region 11",664.666666666667,94.5333333333333,11.8333333333333,0,5.66666666666667,17.3333333333333,23
"460","Life Skills Center of Columbus North","Franklin","Region 11",100,50.8,97.5,0,10,0,10
"461","Life Skills Center of Columbus Southeast","Franklin","Region 11",117,50.5,93,0,0,0,0
"462","Life Skills Center of Dayton","Montgomery","Region 10",123,48.3,98.4,0,0,0,0
"463","Life Skills Center of Elyria","Lorain","Region 2",134,46.6,96.4,0,0,0,0
"464","Life Skills Center of North Akron","Summit","Region 8",92,49.5,91.4,0,0,0,0
"465","Life Skills Center Of Toledo","Lucas","Region 1",133,51.3,96.9,0,17,0,17
"466","Life Skills Ctr Of Cincinnati","Hamilton","Region 13",94,43.4,99,0,0,0,0
"467","Lighthouse Community Sch Inc","Hamilton","Region 13",56,61.9,92.9,0,55,0,55
